company,date,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,file_url
Saregama India Ltd,2025-07-31T12:49:49.413,20677,3651,,1.9,1.9,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=88250571-0d95-4223-b5f4-cc09666a2379.pdf
SBFC Finance Ltd,2025-07-26T14:16:16.697,3885.42,1008.92,,0.93,0.91,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e6b76b76-b7a8-4d76-af16-541cb351e1ae.pdf
SBI Cards and Payment Services Ltd,2025-07-25T17:24:29.363,5035.39,555.96,,5.84,5.84,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9e238962-3467-4011-96ad-f77bf0fdb02b.pdf
SBI Life Insurance Company Ltd,2025-07-24T15:27:26.643,1717850,59437,,5.93,5.93,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0549c109-f38a-447f-8ce9-eaa0191cf396.pdf
Schaeffler India Ltd,2025-07-25T18:08:40.103,23525.9,2871.1,,18.4,18.4,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d46b8af2-601c-4c13-8e43-d644fc1a5eb3.pdf
Schneider Electric Infrastructure Ltd,2025-08-07T16:56:54.74,62163,4124,,1.72,1.72,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=05a135d8-5a0c-4e82-8c43-2617c505384e.pdf
Shipping Corporation of India Ltd,2025-08-08T18:46:38.32,131604,35417,,7.6,7.6,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c9eca5f1-70b9-4fd1-af1f-e4505046d10a.pdf
Shree Cement Ltd,2025-08-04T13:51:00.65,5280.88,643.66,1567.83,178.12,178.12,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a1e666e4-d423-463e-ba8c-1edf6daef1f9.pdf
Shree Renuka Sugars Ltd,2025-08-07T17:59:44.847,20075,-2636,,-1.24,-1.24,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2f8495d2-be30-4b6d-8a1e-2eab758bd69b.pdf
Shriram Finance Ltd,2025-07-25T13:54:58.09,11542.44,2159.39,,11.48,11.47,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=35300dc0-4a9e-4e8a-ba2a-03b5a6737714.pdf
Shyam Metalics and Energy Ltd,2025-07-22T15:13:30.043,4418.84,290.67,633.23,10.45,10.41,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6f033317-2760-417c-b964-7aed5151c9e6.pdf
Siemens Ltd,2025-08-08T21:11:53.603,43468,4234,,11.89,11.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f11d3de9-e54a-4623-99b2-d0362c1d28f6.pdf
Signatureglobal (India) Ltd,2025-08-07T20:28:17.017,8656.69,344.35,,2.45,2.45,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4782d006-393d-450f-bac6-59ec28c22f0c.pdf
SJVN Ltd,2025-08-11T15:24:43.55,91745,22758,,0.58,0.58,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ba8e98eb-0565-40da-99ed-441e1821363e.pdf
SKF India Ltd,2025-08-06T22:33:32.073,12831.5,1182.1,,23.9,23.9,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0254afac-a1f4-4479-9898-7bd3073c020c.pdf
Sobha Ltd,2025-07-25T18:23:46.347,8519.34,136.18,,1.27,1.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4dbaca71-ef26-4b84-88dc-2b84890cf32e.pdf
Sona BLW Precision Forgings Ltd,2025-08-04T15:48:57.753,8539.07,1217.09,,2.64,2.64,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bcceea36-b1a4-410f-96b8-9d1f6085f49e.pdf
Sonata Software Ltd,2025-07-30T17:48:49.183,296520,10930,15960,3.94,3.94,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e7df0efe-6236-4774-b9e3-0996986b0b13.pdf
SRF Ltd,2025-07-23T14:50:21.99,3818.62,432.32,,14.58,14.58,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3e1305cb-1ff1-4da1-a966-cb0e02278075.pdf
State Bank of India,2025-08-08T13:42:03.51,166991.82,21201.47,,23.76,23.76,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3a8c5081-a7bd-4a02-b422-959b748c4230.pdf
Steel Authority of India Ltd,2025-07-25T20:00:17.5,25921.76,744.58,2925,1.8,1.8,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7c8bf0cb-15f3-4f5a-a2e4-fa17774b8601.pdf
Sterling and Wilson Renewable Energy Ltd,2025-07-17T15:36:00.44,1761.63,38.69,,1.37,1.37,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ab930390-8eef-4b77-9f36-ad55f6d64ea7.pdf
Sumitomo Chemical India Ltd,2025-08-04T13:10:10.67,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fe24f0a4-4e8d-424a-aaa0-e772fe9bb321.pdf
Sumitomo Chemical India Ltd,2025-08-04T12:51:17.81,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e2224d0b-e7f2-4a26-97db-1dd9a95e86f0.pdf
Sun Pharmaceutical Industries Ltd,2025-07-31T14:35:42.99,138514,22786.3,43017,9.5,9.5,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e83bf6df-02b2-4f7a-b8a7-5beb96ab4ab6.pdf
Sun TV Network Ltd,2025-08-07T16:26:34.03,1729.56,528.66,617.23,9.42,9.42,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8006bca6-729d-4120-ae77-0906d6946205.pdf
Sundaram Finance Ltd,2025-08-05T10:25:49.83,2348.93,475.21,,38.59,38.59,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=71742CDE-2FF2-4CA0-A490-614089D8DDD9-102326.pdf
Sundram Fasteners Ltd,2025-07-31T17:47:18.2,1533.39,147.94,238.77,7.06,7.06,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ca9ac0e1-a99e-4309-8cef-c6919f28b6af.pdf
Supreme Industries Ltd,2025-07-24T13:10:59.84,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=029eb32a-2dcd-415c-9398-01eff12c826e.pdf
Suzlon Energy Ltd,2025-08-12T15:43:59.023,3117,324,599,0.24,0.24,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d75b22c1-521b-4551-9794-41dcc3059ec4.pdf
Swan Corp Ltd,2025-08-14T19:31:31.123,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a4eee285-d688-4b86-860c-7f1f7e4773eb.pdf
Swiggy Ltd,2025-07-31T15:52:58.217,4961,-1197,,-5.04,-5.04,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cae825f3-7aeb-4f02-b1c9-696a01059f35.pdf
Syngene International Ltd,2025-07-23T15:08:52.767,8745,867,,2.16,2.15,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6a41bff8-4ae5-4c04-9d39-e3fca5870071.pdf
Syrma SGS Technology Ltd,2025-07-23T15:34:14.367,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0ef59b6e-089b-4a42-9095-66fce0204197.pdf
Tanla Platforms Ltd,2025-07-24T17:49:45.387,104065.57,11840.58,,8.82,8.8,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=6390d4ec-d2ef-4e4a-921b-73fe3f81ff03.pdf
Tata Chemicals Ltd,2025-07-25T17:39:05.357,3719,316,437,9.89,9.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d848e416-feca-4600-8974-add6b8a7c9a9.pdf
Tata Communications Ltd,2025-07-17T18:51:52.067,5960,232,1137,6.67,6.66,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5005a9f3-6f9b-4804-97f8-18f9ebe48e2d.pdf
Tata Consultancy Services Ltd,2025-07-10T16:01:11.16,63437,12819,,35.27,35.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cbb735d4-868e-4061-9003-40a27c8cd0ee.pdf
Tata Consumer Products Ltd,2025-07-23T17:12:34.743,4778.91,331.75,,3.38,3.37,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=78cc66a8-a991-41ba-b2d9-a186ed740184.pdf
Tata Elxsi Ltd,2025-07-10T17:18:49.96,89209.59,14436.77,,23.18,23.18,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c21a562f-4caf-49fd-ae7d-c24e08648225.pdf
Tata Investment Corporation Ltd,2025-08-04T12:28:43.6,145.46,146.3,,28.92,28.92,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d435c105-5135-497a-bd58-185d59ed7faf.pdf
Tata Motors Ltd,2025-08-08T16:25:46.4,104407,4003,9700,10.66,10.65,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=92b7273f-5eda-4308-a18e-3b34b113ccc3.pdf
Tata Motors Ltd,2025-08-08T16:24:59.383,104407,4003,9700,10.66,10.65,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b51d4d95-b8e1-482f-8bd9-3d4994b33629.pdf
Tata Power Company Ltd,2025-08-01T16:07:42.94,18035.07,1262.32,,3.31,3.31,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=727d3841-aea4-4152-9ded-913f0717ab0f.pdf
Tata Steel Ltd,2025-07-30T18:06:31.31,53178.12,2007.36,7479.58,1.67,1.67,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3d754da5-eea4-4f07-b3b5-3685bce502b1.pdf
Tata Technologies Ltd,2025-07-14T16:07:56.207,1244.29,170.28,319.33,4.19,4.19,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=71215902-32f4-4222-883f-28062d4705ef.pdf
Tata Teleservices (Maharashtra) Ltd,2025-07-23T12:02:53.217,284.25,-324.98,146.81,-1.66,-1.66,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=58ae5f76-29fd-447f-8192-67ab59f05c2b.pdf
TBO TEK Ltd,2025-08-04T15:15:27.363,5112.78,629.68,,5.9,5.85,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=31b439c3-2c04-4d1f-a39a-220f51001cbf.pdf
Tech Mahindra Ltd,2025-07-16T16:14:14.383,133512,11406,19352,12.87,12.86,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=692e01f9-832a-41b3-9687-f0b0e17cab4a.pdf
Techno Electric & Engineering Company Ltd,2025-08-12T17:50:24.023,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=99dd12c3-00ef-4512-812a-ef14303245b0.pdf
Tejas Networks Ltd,2025-07-14T18:02:56.633,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f904a766-1f24-4ed9-aa17-cf71206f7cd9.pdf
The New India Assurance Company Ltd,2025-07-29T20:50:59.227,1102569,39101,,2.37,2.37,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9c9e18a4-958b-4ada-85b5-a65375b8c3ca.pdf
The Phoenix Mills Ltd,2025-07-24T17:54:35.9,95298.53,32085.75,50235.67,6.73,6.73,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d019528c-83f0-4ba1-8414-7c1346e6cbc5.pdf
The Ramco Cements Ltd,2025-08-07T17:48:35.903,2074.02,85.03,,3.6,3.6,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7a3e4510-89f5-4c90-a80e-b6ede26f93bd.pdf
Thermax Ltd,2025-07-31T16:00:34.9,2150.18,151.45,,13.53,13.52,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2d308c46-17c5-4fdf-9008-ec5de0effd0b.pdf
Timken India Ltd,2025-07-31T19:39:46.467,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7dde48dd-bbac-4043-ae6c-77d9bce517ce.pdf
Titagarh Rail Systems Ltd,2025-08-11T21:18:13.36,679.3,30.94,,2.3,2.3,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=1cbb1299-1493-4ef9-934a-44daedecb9a6.pdf
Titan Company Ltd,2025-08-07T17:21:13.287,16628,1091,1751,12.3,12.3,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=28a5dae9-9993-479e-89c3-459035e1f10a.pdf
Torrent Pharmaceuticals Ltd,2025-07-28T16:04:17.967,3178,548,1032,16.19,16.19,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3499cf77-9c07-48a2-90f7-79c0f6a48c47.pdf
Torrent Power Ltd,2025-08-05T17:07:06.577,7906.37,741.58,1587.73,14.52,14.52,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c353ed78-3f49-4f26-9e73-cb62b742ae9c.pdf
Transformers and Rectifiers (India) Ltd,2025-08-01T13:40:41.73,529.33,67.46,,2.24,2.24,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b9fca44f-1b76-45bc-8bba-ce7ab1aa187c.pdf
Trent Ltd,2025-08-06T17:50:17.977,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0aab1761-da77-4864-9bcc-79bcb773f78a.pdf
Trident Ltd,2025-07-24T16:42:16.463,17068.9,1399.6,,0.27,0.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9395ca5c-4bb7-44e9-9e53-79711ee2bf6b.pdf
Triveni Engineering & Industries Ltd,2025-07-29T16:47:18.77,1954.46,2.1,,0.2,0.2,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d5e6feac-3827-4197-8a92-3000a098fc15.pdf
Triveni Turbine Ltd,2025-08-04T17:59:32.76,3713,644,,2.03,2.03,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=40ab6232-a1c6-4ba1-ac4a-e54fadff2ef4.pdf
Triveni Turbine Ltd,2025-08-04T17:40:41.733,3713,644,,2.03,2.03,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f4d43d51-461a-40d7-bce9-62af6b3390a7.pdf
Tube Investments of India Ltd,2025-08-01T14:04:02.463,5309.06,303.19,,10.28,10.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9f496963-860a-4bba-9625-4363b9e75415.pdf
TVS Motor Company Ltd,2025-07-31T13:35:34.96,10081,778.59,1263,16.39,16.39,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f601b547-8d8e-477b-86c7-57bfc4e2ef24.pdf
UCO Bank,2025-07-21T12:57:14.047,743321,60744,,0.48,0.48,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=590dbb0f-012b-48ea-b0fe-fea2cb7563bb.pdf
UltraTech Cement Ltd,2025-07-21T13:49:09.627,21275.45,2220.91,4591,75.67,75.61,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=014d801b-eb8f-4b31-ae0f-3afeee90deb7.pdf
Union Bank of India,2025-07-19T13:49:04.167,3234393,442794,,5.8,5.8,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=461e366f-43b8-4076-9b5a-7870b1be7ecc.pdf
United Breweries Ltd-$,2025-07-22T19:32:24.057,538078,18403,,6.95,6.95,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=64ca447c-67c2-4cd5-891a-f08ea41bae1d.pdf
United Spirits Ltd,2025-08-13T19:18:29.933,6295,417,644,5.87,5.87,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e8ba5839-ac47-45eb-967d-46a7819d191f.pdf
UNO Minda Ltd-$,2025-08-06T12:53:49.79,4489.09,309.03,,5.06,5.05,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2ef07569-ed11-4e55-8b48-6fe673cc42b2.pdf
UPL Ltd,2025-08-01T14:25:35.753,1660,122,,1.53,1.49,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4a43d07a-6fc3-4461-86c4-0364245ace13.pdf
Usha Martin Ltd,2025-08-12T17:37:21.053,88719,10081,,3.31,3.31,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=3eb3e8ac-11f8-4d37-a243-d12d4609771b.pdf
UTI Asset Management Company Ltd,2025-07-24T16:31:50.3,548.61,253.86,,18.5,18.42,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f4f5f968-c44f-4417-831f-bd982a68cabc.pdf
Valor Estate Ltd,2025-08-14T20:30:03.387,84032.51,1371.35,,0.23,0.23,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=68d74a09-3517-4dcd-af8a-17880e115801.pdf
Vardhman Textiles Ltd,2025-07-22T12:14:20.17,2385.66,207.68,,7.28,7.28,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=089ae2d3-fb68-456f-988b-a4b02c5e96d5.pdf
Varun Beverages Ltd,2025-07-29T11:56:07.84,71630.21,13254.88,,3.89,3.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=11c9c6ab-d668-49c1-a027-819a9b362dfc.pdf
Vedant Fashions Ltd,2025-07-30T13:16:44.897,2811.9,702.57,,2.89,2.89,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a4641d5a-8a2b-4499-8140-5f5fa0e4331f.pdf
Vedanta Ltd,2025-07-31T14:41:43.1,37434,4457,10746,8.15,8.09,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=51741751-b4d7-494b-9323-905b075ca169.pdf
V-Guard Industries Ltd,2025-07-29T13:49:12.777,1466.08,73.85,,1.69,1.68,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=82841d7c-5c24-4bff-9e9a-8a175ddee38d.pdf
Vijaya Diagnostic Centre Ltd,2025-07-28T13:29:23.933,18805.31,3858.9,,3.76,3.75,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e3d135d3-6be1-4d51-b396-c5acdcaf8337.pdf
Vishal Mega Mart Ltd,2025-08-13T15:53:35.77,31403.19,2060.73,,0.45,0.44,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=21d45a37-f66d-4f35-904a-e73632807c1e.pdf
Vodafone Idea Ltd,2025-08-14T18:19:19.573,110225,-66081,46121,-0.63,-0.63,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=24a4492b-892c-457f-904a-ace6b215caf6.pdf
Voltas Ltd,2025-08-08T15:47:30.55,3938.58,140.61,,4.25,4.25,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a51e2ad8-a715-493e-9399-4dde0830ecdd.pdf
Waaree Energies Ltd,2025-07-28T18:10:06.14,4425.83,772.89,,25.94,25.84,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=451d9349-d615-4f67-9f6f-8bdaab38a8f1.pdf
Welspun Corp Ltd,2025-07-29T14:57:17.067,3551.49,349.16,,13.32,13.29,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=aa057ef8-fcd8-4fd2-9202-df7d42afb1cf.pdf
Welspun Living Ltd,2025-07-30T15:15:18.913,2260.57,89.3,254.32,0.92,0.92,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7b5969bb-6a34-4a01-8a94-5d6ae4c417e1.pdf
Westlife Foodworld Ltd,2025-07-23T14:14:16.267,65763.71,122.75,,0.08,0.08,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9d57c5c4-f43c-43ad-b569-b42f11bd3684.pdf
Whirlpool of India Ltd,2025-07-26T15:45:15.253,243232,14608,,11.49,11.49,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ed192e29-66c3-4bdd-9f0d-fa734a701ced.pdf
Wipro Ltd,2025-07-17T15:36:40.66,221346,33365,35724,3.18,3.17,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4cf8add0-db72-47d0-8a23-092b6949ac8a.pdf
Wockhardt Ltd,2025-08-08T14:10:17.16,738,-108,,-5.53,-5.53,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b6c10897-e8de-49ea-8ffc-ae919060aa5f.pdf
Yes Bank Ltd,2025-07-19T12:30:18.833,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c50962d6-b01d-44e9-ad17-ae84270526ae.pdf
Zee Entertainment Enterprises Ltd,2025-07-22T15:07:51.2,18498,1437,,1.5,1.5,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=44f4a987-cf3f-4a31-957c-2ea58ffcae8c.pdf
ZEN Technologies Ltd,2025-07-26T18:43:15.727,15821.87,5307.49,,5.31,5.31,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9889c1f1-0fbf-45bb-876c-665bfc507a73.pdf
Zensar Technologies Ltd,2025-07-22T15:58:07.517,13850,1820,,8.01,7.92,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=466a250f-2355-406c-8f07-8f420837922e.pdf
ZF Commercial Vehicle Control Systems India Ltd,2025-08-12T18:23:19.91,97555.5,12237.57,,64.52,64.52,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=32182aee-5863-4a39-b706-b016899b22e4.pdf
Zydus Lifesciences Ltd,2025-08-12T13:03:52.95,65737,14668,,14.58,14.58,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=5cbe5847-8d21-4622-bb0d-ead46665c984.pdf
